Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total
HARBOR BL  ,BTWN,BEACON ST AND O FARELL ST,AUTO,SR,2014-08-24T00:00:00,SUN,0.0,0.0,16800,11736,28536
SWINFORD ST,E/O,HARBOR BL,AUTO,SR,2014-08-20T00:00:00,WED,1011,1774,0.0,0.0,2785
SWINFORD ST,E/O,HARBOR BL,AUTO,SR,2014-08-21T00:00:00,THU,1810,2970,0.0,0.0,4780
SWINFORD ST,E/O,HARBOR BL,AUTO,SR,2014-08-22T00:00:00,FRI,2109,4064,0.0,0.0,6173
SWINFORD ST,E/O,HARBOR BL,AUTO,SR,2014-08-23T00:00:00,SAT,1856,6515,0.0,0.0,8371
SWINFORD ST,E/O,HARBOR BL,AUTO,SR,2014-08-24T00:00:00,SUN,2872,5719,0.0,0.0,8591
ENTRADA DR,AT,OCEAN AV/E CHANNEL,MAN,WR,2014-08-20T00:00:00,WED,9322,7889,0.0,0.0,17211
IMPERIAL HWY,E/O,PESHING DR,AUTO,WR,2014-08-22T00:00:00,FRI,17522,15339,0.0,0.0,32861
IMPERIAL HWY,E/O,PERSHING DR,AUTO,WR,2014-08-23T00:00:00,SAT,13936,14020,0.0,0.0,27956
IMPERIAL HWY,E/O,PERSHING DR,AUTO,WR,2014-08-24T00:00:00,SUN,11949,11271,0.0,0.0,23220
WORLD AWY WEST W/B RAMP,TO,PERSHING DR,AUTO,WR,2014-08-22T00:00:00,FRI,2016,0.0,0.0,0.0,2016
WORLD AWY WEST W/B RAMP,TO,PERSHING DR,AUTO,WR,2014-08-23T00:00:00,SAT,1025,0.0,0.0,0.0,1025
WORLD AWY WEST W/B RAMP,TO,PERSHING DR,AUTO,WR,2014-08-24T00:00:00,SUN,933,0.0,0.0,0.0,933
WORLD WAY WEST BRIDGE,AT,PERSHING DR,AUTO,WR,2014-08-22T00:00:00,FRI,3807,1584,0.0,0.0,5391
WORLD WAY WEST BRIDGE,AT,PERSHING DR,AUTO,WR,2014-08-23T00:00:00,SAT,2037,783,0.0,0.0,2820
WORLD WAY WEST BRIDGE,AT,PERSHING DR,AUTO,WR,2014-08-24T00:00:00,SUN,1962,779,0.0,0.0,2741
SUNSET BL,AT,AMALFI DR,AUTO,WR,2014-08-26T00:00:00,TUE,14354,12367,0.0,0.0,26721
SUNSET BL,AT,CHAUTAUQUA BL,AUTO,WR,2014-08-26T00:00:00,TUE,14508,16203,0.0,0.0,30711
SUNSET BL,AT,WILL ROGERS RD,AUTO,WR,2014-08-26T00:00:00,TUE,14260,12247,0.0,0.0,26507
PERSHING DR N/B RAMP,TO,WORLD WAY WEST,AUTO,WR,2014-08-29T00:00:00,FRI,4068,0.0,0.0,0.0,4068
PERSHING DR N/B RAMP,TO,WORLD WAY WEST,AUTO,WR,2014-08-30T00:00:00,SAT,2072,0.0,0.0,0.0,2072
PERSHING DR N/B RAMP,TO,WORLD WAY WEST,AUTO,WR,2014-08-31T00:00:00,SUN,1942,0.0,0.0,0.0,1942
SUNSET BL,AT,TEMESCAL CANYON RD,AUTO,WR,2014-09-02T00:00:00,TUE,13944,13922,0.0,0.0,27866
SUNSET BL,AT,WOODBURN AV,AUTO,WR,2014-09-02T00:00:00,TUE,19923,26373,0.0,0.0,46296
SUNSET BL,AT,CAREY ST,AUTO,WR,2014-09-02T00:00:00,TUE,14556,15023,0.0,0.0,29579
SUNSET BL,AT,EL MEDIO AV,AUTO,WR,2014-09-02T00:00:00,TUE,15191,12746,0.0,0.0,27937
SUNSET BL,AT,MARQUEZ AV,AUTO,WR,2014-09-02T00:00:00,TUE,9854,6868,0.0,0.0,16722
SUNSET BL,AT,ARNO WAY,AUTO,WR,2014-09-03T00:00:00,WED,8285,6542,0.0,0.0,14827
SUNSET BL,AT,PALISADES DR,AUTO,WR,2014-09-03T00:00:00,WED,6172,7850,0.0,0.0,14022
SUNSET BL,AT,CASTELLAMMARE DR,AUTO,WR,2014-09-03T00:00:00,WED,13803,8861,0.0,0.0,22664
VANOWEN ST,AT,LANKERSHIM BL,AUTO,EV,2014-09-04T00:00:00,THU,13225,13347,0.0,0.0,26572
VANOWEN ST,AT,LAUREL CANYON BL,AUTO,EV,2014-09-04T00:00:00,THU,14439,16035,0.0,0.0,29474
VANOWEN ST,AT,CLYBOURN AV (WEST JOG),AUTO,EV,2014-09-08T00:00:00,MON,12666,12307,0.0,0.0,24973
VANOWEN ST,AT,TUJUNGA AV,AUTO,EV,2014-09-08T00:00:00,MON,11705,11475,0.0,0.0,23180
VANOWEN ST,AT,VINELAND AV,AUTO,EV,2014-09-08T00:00:00,MON,13120,11241,0.0,0.0,24361
NORMANDIE AV,S/O,WASHINGTON BL,AUTO,HW,2014-09-08T00:00:00,MON,0.0,0.0,17928,18474,36402
VALLEY CIRCLE BL,S/O ,BELL CANYON BL,AUTO,WV,2014-09-10T00:00:00,WED,0.0,0.0,10596,9742,20338
VALLEY CIRCLE BL,AT,VALERIE AV,AUTO,WV,2014-09-10T00:00:00,WED,0.0,0.0,11210,10545,21755
VALLEY CIRCLE BL,AT,VICTORY BL,AUTO,WV,2014-09-10T00:00:00,WED,0.0,0.0,11144,10128,21272
VALLEY CIRCLE BL,AT,VANOWEN ST,AUTO,WV,2014-09-10T00:00:00,WED,0.0,0.0,10207,10171,20378
VALLEY CIRCLE BL,AT,KITTRIDGE ST,AUTO,WV,2014-09-10T00:00:00,WED,0.0,0.0,10553,9788,20341
VALLEY CIRCLE BL,N/O,BURBANK BL,AUTO,WV,2014-09-10T00:00:00,WED,0.0,0.0,11778,10572,22350
NORMANDIE AV,S/O,FRANKLIN AV,AUTO,HW,2014-09-15T00:00:00,MON,0.0,0.0,4883,3159,8042
NORMANDIE AV,AT,SUNSET BL,AUTO,HW,2014-09-15T00:00:00,MON,0.0,0.0,6307,4898,11205
NORMANDIE AV,AT,SANTA MONICA BL,AUTO,HW,2014-09-15T00:00:00,MON,0.0,0.0,6497,7044,13541
NORMANDIE AV,AT,MELROSE AV,AUTO,HW,2014-09-15T00:00:00,MON,0.0,0.0,6470,8295,14765
NORMANDIE AV,AT,BEVERLY BL,AUTO,HW,2014-09-16T00:00:00,TUE,0.0,0.0,9861,12246,22107
NORMANDIE AV,AT,3rd ST,AUTO,HW,2014-09-16T00:00:00,TUE,0.0,0.0,9671,11295,20966
NORMANDIE AV,AT,6th ST,AUTO,HW,2014-09-16T00:00:00,TUE,0.0,0.0,9099,10408,19507
NORMANDIE AV,S/O ,PICO BL,AUTO,HW,2014-09-16T00:00:00,TUE,0.0,0.0,14919,9831,24750
CENTRAL AV,AT,LANZIT AV,AUTO,SR,2014-09-17T00:00:00,WED,0.0,0.0,16816,16660,33476
CENTRAL AV,AT,108th ST,AUTO,SR,2014-09-17T00:00:00,WED,0.0,0.0,17030,18047,35077
CENTRAL AV,AT,CENTURY BL,AUTO,SR,2014-09-17T00:00:00,WED,0.0,0.0,14676,14096,27772
CENTRAL AV,AT,HOOPER AV,AUTO,SR,2014-09-17T00:00:00,WED,0.0,0.0,14977,8220,23197
CENTRAL AV,AT,83rd ST,AUTO,CR,2014-09-18T00:00:00,THU,0.0,0.0,12560,12119,24679
CENTRAL AV,AT,MANCHESTER AV,AUTO,CR,2014-09-18T00:00:00,THU,0.0,0.0,12122,12022,24144
CENTRAL AV,AT,FLORENCE AV,AUTO,CR,2014-09-18T00:00:00,THU,0.0,0.0,14469,13152,27621
FLORENCE AV,AT,CRENSHAW BL,AUTO,SR,2014-09-22T00:00:00,MON,19089,18422,0.0,0.0,37511
FLORENCE AV,AT,6th AV,AUTO,SR,2014-09-22T00:00:00,MON,19327,19378,0.0,0.0,38705
FLORENCE AV,AT,VAN NESS AV,AUTO,SR,2014-09-22T00:00:00,MON,19518,19025,0.0,0.0,38543
FLORENCE AV,AT,WESTERN AV,AUTO,SR,2014-09-22T00:00:00,MON,18927,17959,0.0,0.0,36886
CAPITOL DR,W/O,GAFFEY ST,AUTO,SR,2014-09-22T00:00:00,MON,5848,6019,0.0,0.0,11867
CAPITOL DR,AT,MEYLER ST,AUTO,SR,2014-09-22T00:00:00,MON,6467,5355,0.0,0.0,11822
FLORENCE AV,AT,NORMANDIE AV,AUTO,SR,2014-09-23T00:00:00,TUE,19375,15871,0.0,0.0,35246
FLORENCE AV,AT,VERMONT AV,AUTO,SR,2014-09-23T00:00:00,TUE,19043,20711,0.0,0.0,39754
FLORENCE AV,AT,BROADWAY,AUTO,SR,2014-09-23T00:00:00,TUE,20004,21274,0.0,0.0,41278
FLORENCE AV,AT,SAN PEDRO ST,AUTO,SR,2014-09-24T00:00:00,WED,19921,16865,0.0,0.0,36786
FLORENCE AV,AT,STANFORD AV,AUTO,SR,2014-09-24T00:00:00,WED,18985,18058,0.0,0.0,37043
FLORENCE AV,W/O,CENTRAL AV,AUTO,SR,2014-09-24T00:00:00,WED,18171,18717,0.0,0.0,36888
SATICOY ST,E/O,WHITSETT AV,AUTO,EV,2014-09-24T00:00:00,WED,6958,7072,0.0,0.0,14030
SATICOY ST,AT,LAUREL CANYON BL,AUTO,EV,2014-09-24T00:00:00,WED,6977,6559,0.0,0.0,13536
SATICOY ST,AT,LANKERSHIM BL,AUTO,EV,2014-09-24T00:00:00,WED,6620,6276,0.0,0.0,12896
GRANVILLE AV,AT,PICO BL,MAN,WR,2014-09-24T00:00:00,WED,0.0,0.0,543,409,952
PICO BL,AT,GRANVILLE  AV,MAN,WR,2014-09-24T00:00:00,WED,11405,18809,0.0,0.0,30214
SATICOY ST,W/O,CLYBOURN AV   ,AUTO,EV,2014-09-25T00:00:00,THU,1848,1393,0.0,0.0,3241
SATICOY ST,AT,TUJUNGA AV,AUTO,EV,2014-09-25T00:00:00,THU,4270,4985,0.0,0.0,9255
SATCOY ST,AT,VINELAND AV,AUTO,EV,2014-09-25T00:00:00,THU,2382,3908,0.0,0.0,6290
ROSCOE BL ,E/O,WOODMAN AV,AUTO,EV,2014-09-29T00:00:00,MON,21445,19881,0.0,0.0,41326
ROSCOE BL,AT,TRUESDALE AV,AUTO,EV,2014-09-29T00:00:00,MON,23956,23549,0.0,0.0,47505
ROSCOE BL,AT,COLDWATER CANYON AV,AUTO,EV,2014-09-30T00:00:00,TUE,25174,29849,0.0,0.0,55023
BEVERLEY GLEN BL,AT,ALMAYO AV,AUTO,WR,2014-09-30T00:00:00,TUE,0.0,0.0,8863,8747,17610
BEVERLEY GLEN BL,AT,LA GRANGE AV (SOUTH INTER),AUTO,WR,2014-09-30T00:00:00,TUE,0.0,0.0,11883,13706,25589
BEVERLY GLEN BL,AT,OLYMPIC BL   ,AUTO,WR,2014-09-30T00:00:00,TUE,0.0,0.0,10072,13330,23402
BEVERLY GLEN BL,AT,WILKINS AV,AUTO,WR,2014-10-01T00:00:00,WED,0.0,0.0,12013,13895,25908
BEVERLY GLEN BL,AT,ASHTON AV,AUTO,WR,2014-10-01T00:00:00,WED,0.0,0.0,11832,11844,23676
BEVERLY GLEN BL,AT,WILSHIRE BL,AUTO,WR,2014-10-01T00:00:00,WED,0.0,0.0,10816,10979,21795
CAHUENGA BL WEST ,AT,IONA DR,AUTO,HW,2014-10-01T00:00:00,WED,9772,6132,0.0,0.0,15904
CAHUENGA BL WEST ,S/O,LANKERSHIM BL,AUTO,HW,2014-10-01T00:00:00,WED,,,15243,19981,35224
CAHUENGA BL WEST ,AT,BARHAM BL,AUTO,HW,2014-10-01T00:00:00,WED,10876,14160,0.0,0.0,25036
CAHUENGA BL WEST ,AT,BROADLAWN DR,AUTO,HW,2014-10-01T00:00:00,WED,11908,14381,0.0,0.0,26289
BEVERLY GLEN BL,AT,COMSTOCK AV,AUTO,WR,2014-10-02T00:00:00,THU,0.0,0.0,8696,10842,19538
BEVERLY GLEN BL,S/O,SUNSET BL,AUTO,WR,2014-10-02T00:00:00,THU,0.0,0.0,9324,7979,17303
BEVERLY GLEN BL,AT,MAPLETON DR / ST PIERRE RD,AUTO,WR,2014-10-02T00:00:00,THU,0.0,0.0,8927,10623,19550
AVENUE 50,AT,SAN MARCOS PL,MAN,CR,2014-10-02T00:00:00,THU,0.0,0.0,4540,5849,10389
SAN MARCOS PL ,AT,AVENUE 50,MAN,CR,2014-10-02T00:00:00,THU,0.0,197,0.0,0.0,197
LUCERNE BL,AT,10th ST,AUTO,HW,2014-10-07T00:00:00,TUE,0.0,0.0,1527,2049,3576
10th ST,AT,LUCERNE BL,AUTO,HW,2014-10-07T00:00:00,TUE,105,29,0.0,0.0,134
BEVERLY GLEN BL,AT,RUTHVEN LN,AUTO,WR,2014-10-08T00:00:00,WED,0.0,0.0,10190,9364,19554
BEVERLY GLEN BL,AT,BRIARWOOD DR,AUTO,WR,2014-10-08T00:00:00,WED,0.0,0.0,10172,9198,19370
BEVERLY GLEN BL,AT,NICADIA DR,AUTO,WR,2014-10-08T00:00:00,WED,0.0,0.0,9974,8234,18208
BEVERLY GLEN BL,S/O ,MULHOLLAND DR,AUTO,WR,2014-10-08T00:00:00,WED,0.0,0.0,8031,8812,16843
GLENDALE BL,AT,WAVERLY DR,AUTO,CR,2014-10-08T00:00:00,WED,0.0,0.0,4610,7478,12088
GLENDALE BL,AT,FLETCHER DR,AUTO,CR,2014-10-08T00:00:00,WED,0.0,0.0,16353,15559,31912
BEVERLY GLEN BL,AT,GREENDALE DR,AUTO,WR,2014-10-09T00:00:00,THU,0.0,0.0,13782,12256,26038
BEVERLY GLEN BL,AT,ARIMO LN,AUTO,WR,2014-10-09T00:00:00,THU,0.0,0.0,10505,10161,20666
BEVERLY GLEN BL,AT,CORFU LN,AUTO,WR,2014-10-09T00:00:00,THU,0.0,0.0,10632,10436,21068
BEVERLY GLEN BL,AT,CHRYSANTHEMUM LN,AUTO,WR,2014-10-09T00:00:00,THU,0.0,0.0,10443,9989,20432
MAIN ST,AT,JEFFERSON BL,AUTO,CR,2014-10-15T00:00:00,WED,0.0,0.0,11385,9586,20971
MAIN ST,AT,38th ST,AUTO,CR,2014-10-15T00:00:00,WED,0.0,0.0,7819,5552,13371
MAIN ST,AT,VERNON AV,AUTO,CR,2014-10-15T00:00:00,WED,0.0,0.0,8225,8442,16667
GLENDALE BL,AT,SILVERLAKE BL,AUTO,CR,2014-10-15T00:00:00,WED,0.0,0.0,8386,16138,24524
GLENDALE BL,AT,BAXTER ST,AUTO,CR,2014-10-15T00:00:00,WED,0.0,0.0,7526,6709,14235
MAIN ST,AT,PICO BL,AUTO,CR,2014-10-16T00:00:00,THU,0.0,0.0,10586,6710,17296
MAIN ST,AT,ADAMS BL,AUTO,CR,2014-10-16T00:00:00,THU,0.0,0.0,10422,9007,19429
MAIN ST,AT,21st ST,AUTO,CR,2014-10-16T00:00:00,THU,0.0,0.0,11525,8374,19899
WESTERN AV,N/O,PASEO DEL MAR,AUTO,SR,2014-10-16T00:00:00,THU,0.0,0.0,1499,1526,3025
WESTERN AV   ,S/O,25th ST,AUTO,SR,2014-10-16T00:00:00,THU,0.0,0.0,1352,1549,2901
MAIN ST,AT,49th ST,AUTO,CR,2014-10-20T00:00:00,MON,0.0,0.0,8496,9882,18378
MAIN ST,AT,56tH ST,AUTO,CR,2014-10-20T00:00:00,MON,0.0,0.0,8661,7988,16649
LOS FELIZ BL,AT,FERN DELL DR,AUTO,HW,2014-10-20T00:00:00,MON,18331,15298,0.0,0.0,33629
LOS FELIZ BL,AT,VERMONT AV,AUTO,HW,2014-10-20T00:00:00,MON,26757,16585,0.0,0.0,43352
LOS FELIZ BL,AT,EDGEMONT ST,AUTO,HW,2014-10-20T00:00:00,MON,19524,15318,0.0,0.0,34842
MAIN ST,AT,111th ST,AUTO,SR,2014-10-21T00:00:00,TUE,0.0,0.0,6582,8455,15037
MAIN ST,AT,117th ST,AUTO,SR,2014-10-21T00:00:00,TUE,0.0,0.0,4625,3980,8605
MAIN ST,AT,119th ST,AUTO,SR,2014-10-21T00:00:00,TUE,0.0,0.0,4398,3790,8188
LOS FELIZ BL,AT,COMMONWEALTH AV,AUTO,HW,2014-10-21T00:00:00,TUE,31270,30512,0.0,0.0,61782
LOS FELIZ BL,AT,GRIFFITH PARK BL,AUTO,HW,2014-10-21T00:00:00,TUE,36517,29359,0.0,0.0,65876
LOS FELIZ BL,AT,REVERE AV,AUTO,HW,2014-10-22T00:00:00,WED,18430,17940,0.0,0.0,36370
LOS FELIZ BL,AT,GOLDEN STATE FWY N/B ON RAMP,AUTO,HW,2014-10-22T00:00:00,WED,24997,30178,0.0,0.0,55175
MAIN ST,AT,92nd ST,AUTO,SR,2014-10-22T00:00:00,WED,0.0,0.0,6805,5762,12567
MAIN ST,AT,95th ST,AUTO,SR,2014-10-22T00:00:00,WED,0.0,0.0,5756,5877,11633
MAIN ST,AT,108th ST,AUTO,SR,2014-10-22T00:00:00,WED,0.0,0.0,6176,5420,11596
MAIN ST,AT,82nd ST,AUTO,CR,2014-10-23T00:00:00,THU,0.0,0.0,9607,7206,16822
MAIN ST,AT,FLORENCE AV,AUTO,CR,2014-10-23T00:00:00,THU,0.0,0.0,10884,8812,19696
MAIN ST,AT,MANCHESTER AV,AUTO,SR,2014-10-23T00:00:00,THU,0.0,0.0,7520,7729,15249
RESEDA BL,AT,BURBANK BL,AUTO,WV,2014-10-23T00:00:00,THU,0.0,0.0,17405,26057,43462
RESEDA BL,AT,HATTERAS ST,AUTO,WV,2014-10-23T00:00:00,THU,0.0,0.0,17405,17395,34800
MAIN ST,AT,60th ST,AUTO,CR,2014-10-27T00:00:00,MON,0.0,0.0,7605,7148,14753
MAIN ST,AT,68th ST,AUTO,CR,2014-10-27T00:00:00,MON,0.0,0.0,7505,7428,14933
RESEDA BL,AT,SATICOY ST,AUTO,WV,2014-10-28T00:00:00,TUE,0.0,0.0,15611,15778,31389
RESEDA BL,AT,VANOWEN ST,AUTO,WV,2014-10-28T00:00:00,TUE,0.0,0.0,15925,16039,31964
RESEDA BL,AT,SHERMAN WAY,AUTO,WV,2014-10-28T00:00:00,TUE,0.0,0.0,16354,14796,31150
RESEDA BL,AT,VICTORY BL,AUTO,WV,2014-10-29T00:00:00,WED,0.0,0.0,14752,17274,32026
RESEDA BL,AT,STRATHERN ST,AUTO,WV,2014-10-29T00:00:00,WED,0.0,0.0,14734,15684,30418
RESEDA BL,AT,BASSETTE ST,AUTO,WV,2014-10-29T00:00:00,WED,0.0,0.0,16905,16517,33422
PASADENA AV,AT,CARLOTA BL / DRIVEWAY,MAN,CR,2014-10-29T00:00:00,WED,0.0,0.0,6502,7534,14036
CARLOTA BL / DRIVEWAY,AT,PASADENA AV,MAN,CR,2014-10-29T00:00:00,WED,571,284,0.0,0.0,855
PASADENA AV,AT,CARLOTA BL / DRIVEWAY,AUTO,CR,2014-10-29T00:00:00,WED,0.0,0.0,6242,6419,12661
CARLOTA BL / DRIVEWAY,W/O,PASADENA AV,AUTO,CR,2014-10-29T00:00:00,WED,264,596,0.0,0.0,860
CARLOTA BL / DRIVEWAY,E/O,PASADENA AV,AUTO,CR,2014-10-29T00:00:00,WED,746,584,0.0,0.0,1330
VALLEY BL,AT,HIGHBURY AV,AUTO,CR,2014-10-29T00:00:00,WED,14321,13977,0.0,0.0,28298
RESEDA BL,AT,ROSCOE BL,AUTO,WV,2014-10-30T00:00:00,THU,0.0,0.0,15157,17886,33043
CESAR E CHAVEZ AV,AT,HILL ST   ,AUTO,CR,2014-10-30T00:00:00,THU,17296,12715,0.0,0.0,30011
CESAR E CHAVEZ AV,E/O,FIGUEROA ST,AUTO,CR,2014-10-30T00:00:00,THU,17480,16542,0.0,0.0,34022
N BROADWAY,N/O,COLLEGE ST,AUTO,CR,2014-10-30T00:00:00,THU,0.0,0.0,13105,12521,25626
N BROADWAY,AT,MEADOW RD,AUTO,CR,2014-11-05T00:00:00,WED,0.0,0.0,11595,15061,26656
N BROADWAY,AT,SOLANO AV,AUTO,CR,2014-11-05T00:00:00,WED,0.0,0.0,11015,14817,25832
N BROADWAY,AT,AVE 20,AUTO,CR,2014-11-05T00:00:00,WED,0.0,0.0,12502,11539,24041
MANCHESTER AV,AT,HASTINGS AV,AUTO,WR,2014-11-05T00:00:00,WED,5808,6645,0.0,0.0,12453
MANCHESTER AV,W/O,LINCOLN  BL,AUTO,WR,2014-11-05T00:00:00,WED,7641,12433,0.0,0.0,20074
MANCHESTER AV,E/O,PERSHING DR,AUTO,WR,2014-11-05T00:00:00,WED,6391,7316,0.0,0.0,13707
MANCHESTER AV,AT,GULANA AV,AUTO,WR,2014-11-05T00:00:00,WED,4735,6825,0.0,0.0,11560
CENTINELA AV,AT,LOUIS AV,AUTO,WR,2014-11-06T00:00:00,THU,0.0,0.0,14855,17662,32517
CENTINELA AV,N/O,CULVER BL,AUTO,WR,2014-11-06T00:00:00,THU,0.0,0.0,15834,19640,35474
CENTINELA AV,S/O,STANWOOD DR,AUTO,WR,2014-11-06T00:00:00,THU,0.0,0.0,19804,22631,42435
CENTINELA AV,AT,MC CUNE AV,AUTO,WR,2014-11-06T00:00:00,THU,0.0,0.0,14918,17219,32137
CENTINELA AV,AT,GILMORE AV,AUTO,WR,2014-11-06T00:00:00,THU,0.0,0.0,15226,17748,32974
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-04T00:00:00,TUE,3029,2127,0.0,0.0,5156
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-05T00:00:00,WED,3118,2177,0.0,0.0,5295
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-06T00:00:00,THU,3588,2534,0.0,0.0,6122
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-07T00:00:00,FRI,3451,2406,0.0,0.0,5857
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-08T00:00:00,SAT,2721,4886,0.0,0.0,4607
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-09T00:00:00,SUN,3266,2395,0.0,0.0,5661
JENNY AV PARKING LOT DRIVEWAY,S/O,WESTCHESTER PRKWY,AUTO,WR,2014-11-10T00:00:00,MON,3753,2336,0.0,0.0,6089
RESEDA BL,AT,RAVEN ST,AUTO,WV,2014-11-13T00:00:00,THU,0.0,0.0,17074,17175,34249
RESEDA BL,AT,NORDHOFF ST,AUTO,WV,2014-11-13T00:00:00,THU,0.0,0.0,17311,19657,36968
RESEDA BL,AT,PLUMMER ST,AUTO,WV,2014-11-17T00:00:00,MON,0.0,0.0,18423,21486,39909
RESEDA BL,AT,SUPERIOR ST,AUTO,WV,2014-11-17T00:00:00,MON,0.0,0.0,21115,19461,40576
OLYMPIC BL,E/O,ROBERTSON BL,AUTO,WR,2014-11-19T00:00:00,WED,23707,22936,0.0,0.0,46643
OLYMPIC BL,AT,LA JOLLA AV,AUTO,WR,2014-11-19T00:00:00,WED,20200,21142,0.0,0.0,41342
OLYMPIC BL,AT,HI POINT ST,AUTO,WR,2014-11-19T00:00:00,WED,20561,21269,0.0,0.0,41830
SHOUP AV,AT,SHERMAN WAY,MAN,WV,2014-11-20T00:00:00,THU,0.0,0.0,13440,9976,23416
SHERMAN WAY,AT,SHOUP AV,MAN,WV,2014-11-20T00:00:00,THU,11428,10566,0.0,0.0,21994
OLYMPIC BL,AT, LA BREA AV,AUTO,WR,2014-11-20T00:00:00,THU,18435,21522,0.0,0.0,39957
OLYMPIC BL,AT,SPAULDING AV,AUTO,WR,2014-11-20T00:00:00,THU,20272,20524,0.0,0.0,40796
OLYMPIC BL,AT,HAUSER BL,AUTO,WR,2014-11-20T00:00:00,THU,23326,20532,0.0,0.0,43858
PICO BL,AT,UNION AV,AUTO,CR,2014-11-24T00:00:00,MON,13592,10579,0.0,0.0,24171
PICO BL,AT,ALVARADO ST,AUTO,CR,2014-11-25T00:00:00,TUE,17782,13004,0.0,0.0,30786
PICO BL,AT,MAGNOLIA AV,AUTO,CR,2014-11-25T00:00:00,TUE,12936,12582,0.0,0.0,25518
OVERLAND AV     (NORTH INTERSECTION),S/O,ROSE AV   ,AUTO,WR,2014-12-04T00:00:00,THU,0.0,0.0,20119,13533,33652
ROSE AV,E/O,OVERLAND AV   (NOTH INTERSECTION),AUTO,WR,2014-12-04T00:00:00,THU,930,1251,0.0,0.0,2181
ORANGE GROVE AV,N/O,8th ST,AUTO,HW,2014-12-08T00:00:00,MON,0.0,0.0,350,404,754
8th ST,AT,ORANGE GROVE AV,AUTO,HW,2014-12-08T00:00:00,MON,3419,3659,0.0,0.0,7078
VALLEY CIRCLE BL,AT,HIGHLANDER RD,AUTO,WV,2014-12-08T00:00:00,MON,0.0,0.0,10365,9454,19819
HIGHLANDER RD,AT,VALLEY CIRCLE BL,AUTO,WV,2014-12-08T00:00:00,MON,740,704,0.0,0.0,1444
8th ST,AT,CURSON AV,AUTO,HW,2014-12-09T00:00:00,TUE,4476,6352,0.0,0.0,10828
8th ST,AT,MASSELIN ST,AUTO,HW,2014-12-09T00:00:00,TUE,5005,5067,0.0,0.0,10072
MASSELIN ST,AT,8th ST,AUTO,HW,2014-12-09T00:00:00,TUE,0.0,0.0,732,1803,2535
8th ST,AT,SPAULDING AV,AUTO,HW,2014-12-09T00:00:00,TUE,4264,4445,0.0,0.0,8709
SPAULDING AV,AT,8th ST,AUTO,HW,2014-12-09T00:00:00,TUE,0.0,0.0,319,1194,1513
BURBANK BL,AT,SAN DIEGO FWY S/B RAMPS,MAN,EV,2014-12-09T00:00:00,TUE,0.0,0.0,0.0,10599,10599
SAN DIEGO FWY S/B RAMPS,AT,BURBANK BL,MAN,EV,2014-12-09T00:00:00,TUE,26188,21754,0.0,0.0,47942
HUMBOLDT ST,AT,AVE 26,AUTO,CR,2014-12-10T00:00:00,WED,0.0,0.0,2379,1500,3879
AVE 26,AT,HUMBOLDT ST,AUTO,CR,2014-12-10T00:00:00,WED,9382,10102,0.0,0.0,19484
HUMBOLDT ST,AT,AVE 26,MAN,CR,2014-12-10T00:00:00,WED,0.0,0.0,1849,1271,3120
AVE 26,AT,HUMBOLDT ST,MAN,CR,2014-12-10T00:00:00,WED,7226,1098,0.0,0.0,17324
WOODMAN AV,AT,VENTURA FWY W/B RAMPS,MAN,EV,2014-12-16T00:00:00,TUE,0.0,0.0,16854,17656,34510
VENTURA FWY W/B RAMPS,AT,WOODMAN AV,MAN,EV,2014-12-16T00:00:00,TUE,10201,0.0,0.0,0.0,10201
PICO BL ,AT,REDONDO BL,AUTO,HW,2015-01-05T00:00:00,MON,11746,16344,0.0,0.0,28090
PICO BL,AT,FAIRFAX AV,AUTO,HW,2015-01-05T00:00:00,MON,12248,13738,0.0,0.0,25986
PICO BL,AT,HAUSER BL,AUTO,HW,2015-01-05T00:00:00,MON,11054,12313,0.0,0.0,23367
PICO BL,AT,ARLINGTON AV,AUTO,HW,2015-01-06T00:00:00,TUE,10972,11506,0.0,0.0,22478
PICO BL,AT,WEST BL,AUTO,HW,2015-01-06T00:00:00,TUE,13102,15233,0.0,0.0,28335
PICO BL,AT,LA BREA AV,AUTO,HW,2015-01-06T00:00:00,TUE,12622,13870,0.0,0.0,26492
PICO BL,AT,WILTON PL,AUTO,HW,2015-01-07T00:00:00,WED,11124,11130,0.0,0.0,22254
PICO BL,AT,HARVARD AV,AUTO,HW,2015-01-07T00:00:00,WED,9560,10587,0.0,0.0,20147
PICO BL,W/O,FIGUEROA ST,AUTO,CR,2015-01-12T00:00:00,MON,8144,10838,0.0,0.0,18982
PICO BL,AT,MARIPOSA AV,AUTO,CR,2015-01-12T00:00:00,MON,11590,13064,0.0,0.0,24654
